,match,date,tournament,radiant,dire,winner,time,killScore,patch,Radiant Gain,Dire Gain,Radiant ELO,Dire ELO
142,2246583654,03/24/16,DreamLeague Season 5,TSpirit,LC,RADIANT,32.13,25 - 19,6.86,18.45,-18.45,1561,1266
143,2246487086,03/24/16,DreamLeague Season 5,LC,TSpirit,DIRE,19.48,13 - 21,6.86,-22.71,22.71,1284,1543
144,2246145882,03/24/16,EPICENTER,First Departure,MskiX,RADIANT,38.3,31 - 25,6.86,23.50,-23.50,1065,813
145,2246026760,03/24/16,EPICENTER,First Departure,MskiX,RADIANT,23.67,20-May,6.86,30.35,-30.35,1041,836
146,2246014052,03/24/16,ESL One Manilla China Qualifiers,VG.R,Wings,DIRE,41.65,13 - 25,6.86,-28.85,28.85,1327,1541
147,2246010583,03/24/16,EPICENTER,First Departure,MskiX,RADIANT,53.5,0 - 0,6.86,41.17,-41.17,1011,866
148,2245979538,03/24/16,SEA KAPPA,WG.Unity,NND,RADIANT,39.83,33 - 15,6.86,48.32,-48.32,1132,1023
149,2245748404,03/24/16,ESL One Manilla China Qualifiers,Wings,VG.R,RADIANT,72.75,53 - 62,6.86,38.79,-38.79,1512,1356
150,2245738863,03/24/16,SEA KAPPA,Team G7,SGR,RADIANT,37.65,27 - 17,6.86,88.99,-88.99,886,1071
151,2245609936,03/24/16,ESL One Manilla China Qualifiers,iG.V,VG.R,DIRE,23.55,Jun-21,6.86,-29.65,29.65,1185,1394
152,2245434345,03/24/16,EPICENTER,Taring,Rave 2,DIRE,44.38,27 - 32,6.86,-40.10,40.10,927,1077
153,2245420408,03/24/16,ESL One Manilla China Qualifiers,VG.R,iG.V,RADIANT,69.87,49 - 34,6.86,40.07,-40.07,1365,1215
154,2245312443,03/24/16,EPICENTER,Rave 2,Taring,RADIANT,37.72,34 - 18,6.86,56.08,-56.08,1037,967
155,2244497975,03/23/16,EPICENTER,coL 2,Shazam,RADIANT,47.8,33 - 47,6.86,13.23,-13.23,1558,1205
156,2244422668,03/23/16,EPICENTER,Shazam,coL 2,DIRE,44.03,15 - 26,6.86,-15.40,15.40,1218,1545
157,2244209178,03/23/16,DreamLeague Season 5,Vega,TSpirit,DIRE,31.12,21 - 31,6.86,-63.43,63.43,1489,1520
158,2244121749,03/23/16,DreamLeague Season 5,TSpirit,Vega,DIRE,29.67,15 - 25,6.86,-50.88,50.88,1456,1552
159,2244081320,03/23/16,DreamLeague Season 5,TSpirit,Vega,RADIANT,48.65,0 - 0,6.86,67.82,-67.82,1507,1501
160,2243682720,03/23/16,EPICENTER,MVP Phoenix,TNC,RADIANT,36.25,28 - 24,6.86,9.23,-9.23,1716,1301
161,2243658588,03/23/16,ESL One Manilla China Qualifiers,Wings,iG.V,RADIANT,35.1,17 - 15,6.86,28.17,-28.17,1474,1255
162,2243551640,03/23/16,ESL One Manilla SEA Qualifiers,Wu.J,BI,DIRE,25.07,Sep-29,6.86,-35.99,35.99,914,1086
163,2243485133,03/23/16,EPICENTER,TNC,MVP Phoenix,RADIANT,24.75,16-Sep,6.86,96.77,-96.77,1310,1707
164,2243465030,03/23/16,ESL One Manilla China Qualifiers,Wings,iG.V,RADIANT,50.08,24 - 23,6.86,37.71,-37.71,1445,1283
